Continent,Country,State/Province,City
Asia,Afghanistan,Badakhshan,Eshkashem
Asia,Afghanistan,Badakhshan,Fayzabad
Asia,Afghanistan,Badakhshan,Jurm
Asia,Afghanistan,Badakhshan,Khandud
Asia,Afghanistan,Badakhshan,Qal'eh-ye Panjeh
Asia,Afghanistan,Badgis,Bala Morghab
Asia,Afghanistan,Badgis,Qal'eh-ye Naw
Asia,Afghanistan,Baglan,Andarab
Asia,Afghanistan,Baglan,Baghlan
Asia,Afghanistan,Baglan,Dahaneh-ye Ghawri
Asia,Afghanistan,Baglan,Nahrin
Asia,Afghanistan,Baglan,Pol-e Khumri
Asia,Afghanistan,Balkh,Balkh
Asia,Afghanistan,Balkh,Dawlatabad
Asia,Afghanistan,Balkh,Mazar-e Sharif
Asia,Afghanistan,Balkh,Qarchi Gak
Asia,Afghanistan,Balkh,Shulgara
Asia,Afghanistan,Balkh,Tash Gozar
Asia,Afghanistan,Bamiyan,Bamiyan
Asia,Afghanistan,Bamiyan,Panjab
Asia,Afghanistan,Bamiyan,Qil Qal'eh
Asia,Afghanistan,Farah,Anar Darreh
Asia,Afghanistan,Farah,Farah
Asia,Afghanistan,Farah,Shindand
Asia,Afghanistan,Faryab,Andkhvoy
Asia,Afghanistan,Faryab,Darzi Ab
Asia,Afghanistan,Faryab,Dawlatabad
Asia,Afghanistan,Faryab,Maymanah
Asia,Afghanistan,Gawr,Chaghcharan
Asia,Afghanistan,Gawr,Shahrak
Asia,Afghanistan,Gawr,Taywarah
Asia,Afghanistan,Gazni,Ghazni
Asia,Afghanistan,Herat,Awbeh
Asia,Afghanistan,Herat,Eslam Qal'eh
Asia,Afghanistan,Herat,Ghurian
Asia,Afghanistan,Herat,Herat
Asia,Afghanistan,Herat,Karukh
Asia,Afghanistan,Herat,Kuhestan
Asia,Afghanistan,Herat,Kushk
Asia,Afghanistan,Herat,Qarabagh
Asia,Afghanistan,Herat,Tawraghudi
Asia,Afghanistan,Herat,Tir Pol
Asia,Afghanistan,Herat,Zendejan
Asia,Afghanistan,Hilmand,Baghran
Asia,Afghanistan,Hilmand,Darwishan
Asia,Afghanistan,Hilmand,Deh Shu
Asia,Afghanistan,Hilmand,Gereshk
Asia,Afghanistan,Hilmand,Lashkar Gah
Asia,Afghanistan,Hilmand,Sangin
Asia,Afghanistan,Jawzjan,Aqchah
Asia,Afghanistan,Jawzjan,Qarqin
Asia,Afghanistan,Jawzjan,Sang-e Charak
Asia,Afghanistan,Jawzjan,Shibarghan
